"{""png_width"":92344, ""png_height"":72764, ""png_w"":450, ""png_h"":360, ""patch_w"":202.593192869, ""patch_h"":202.593192869}"
i,j,TIL,cancer,tissue
21,117,0,10,240
21,118,0,38,249
21,119,4,22,255
21,120,10,12,255
21,121,21,69,255
21,122,34,77,255
21,123,98,96,255
21,124,105,85,255
21,125,93,67,255
21,126,41,58,255
21,127,116,54,255
21,128,61,70,255
21,129,51,64,255
21,130,26,26,255
21,131,13,18,255
21,132,8,8,255
21,133,7,10,255
21,134,7,11,255
21,135,8,105,255
21,136,8,87,255
21,137,6,26,255
21,138,8,23,255
21,139,1,21,255
21,140,5,10,255
21,141,6,8,255
21,142,12,17,255
21,143,12,29,255
21,144,11,55,255
21,145,12,31,255
21,146,58,17,255
21,147,22,26,255
21,148,9,29,255
21,149,9,47,255
21,150,10,40,255
21,151,8,30,255
21,152,5,33,255
21,153,7,34,255
21,154,8,56,255
21,155,7,56,255
21,156,6,58,255
21,157,8,43,253
21,158,8,29,240
21,159,0,31,240
21,160,0,31,240
21,161,0,30,240
21,162,0,33,200
21,163,0,41,0
21,164,0,34,0
21,165,0,30,0
21,166,0,3,0
21,214,5,0,0
21,215,6,0,0
21,216,7,0,213
21,217,8,0,240
21,218,8,10,254
21,219,14,9,255
21,220,14,1,255
21,221,14,1,255
21,222,14,1,255
21,223,15,2,255
21,224,20,2,255
21,225,15,2,255
21,226,15,2,255
21,227,15,4,255
21,228,13,2,255
21,229,7,1,255
21,230,6,11,255
21,231,8,13,255
21,232,7,8,255
21,233,0,5,253
21,234,0,0,240
21,235,1,6,240
21,236,5,9,240
21,237,1,19,240
21,238,6,18,240
21,239,1,0,240
21,240,7,0,190
21,241,7,0,0
21,242,8,0,0
21,243,8,0,0
21,244,5,0,0
21,246,2,0,0
21,247,7,0,72
21,248,7,0,240
21,249,7,0,240
21,250,5,0,240
21,251,3,0,245
21,252,8,0,255
21,253,9,0,255
21,254,10,0,255
21,255,12,0,255
21,256,14,0,255
21,257,15,0,255
21,258,16,0,255
21,259,14,0,255
21,260,9,0,255
21,261,4,0,248
21,262,4,0,240
21,263,6,0,240
21,264,7,0,240
21,265,7,0,240
21,266,6,0,107
21,267,3,0,0
21,268,4,0,0
21,269,3,0,0
21,274,5,0,0
21,275,7,0,0
21,276,2,0,0
21,277,0,0,168
21,278,0,0,240
21,279,0,0,251
21,280,6,0,255
21,281,7,0,255
21,282,7,0,255
21,283,2,0,255
21,284,0,0,255
21,285,0,0,255
21,286,6,0,255
21,287,1,0,255
21,288,0,0,255
21,289,7,0,255
21,290,9,0,255
21,291,8,0,255
21,292,1,0,255
21,293,4,0,255
21,294,7,0,241
21,295,7,0,240
21,296,6,0,11
21,297,7,0,0
22,115,0,0,129
22,116,0,32,248
22,117,5,34,255
22,118,8,42,255
22,119,56,89,255
22,120,47,122,255
22,121,58,53,255
22,122,88,49,255
22,123,72,103,255
22,124,111,115,255
22,125,68,135,255
22,126,35,90,255
22,127,72,68,255
22,128,120,116,255
22,129,195,114,255
22,130,195,98,255
22,131,187,94,255
22,132,63,90,255
22,133,51,39,255
22,134,25,23,255
22,135,16,32,255
22,136,17,27,255
22,137,15,15,255
22,138,29,23,255
22,139,29,29,255
22,140,20,25,255
22,141,26,24,255
22,142,16,10,255
22,143,14,13,255
22,144,13,21,255
22,145,13,15,255
22,146,16,13,255
22,147,13,19,255
22,148,7,22,255
22,149,7,46,255
22,150,8,32,255
22,151,8,13,255
22,152,7,12,255
22,153,6,12,255
22,154,10,27,255
22,155,8,28,255
22,156,8,33,255
22,157,10,44,255
22,158,7,55,255
22,159,8,31,255
22,160,12,26,255
22,161,7,28,255
22,162,6,27,252
22,163,8,27,239
22,164,7,36,239
22,165,4,43,239
22,166,1,4,239
22,167,7,0,239
22,168,7,0,239
22,169,5,0,239
22,170,0,0,239
22,171,0,0,239
22,172,0,0,239
22,173,0,0,239
22,174,2,0,239
22,175,4,0,239
22,176,0,0,239
22,177,0,0,239
22,178,0,0,239
22,179,0,0,239
22,180,0,0,142
22,182,0,0,104
22,183,0,0,239
22,184,0,0,239
22,185,0,0,239
22,186,0,0,123
22,206,5,0,0
22,207,2,0,0
22,208,5,0,0
22,209,7,0,0
22,210,9,0,0
22,211,7,0,0
22,212,7,0,0
22,213,1,0,202
22,214,6,0,239
22,215,8,0,239
22,216,8,0,253
22,217,8,0,255
22,218,7,2,255
22,219,14,3,255
22,220,13,4,255
22,221,15,4,255
22,222,14,5,255
22,223,15,16,255
22,224,18,19,255
22,225,16,15,255
22,226,19,12,255
22,227,15,3,255
22,228,15,6,255
22,229,7,8,255
22,230,1,8,255
22,231,6,8,255
22,232,6,21,255
22,233,0,16,255
22,234,1,8,255
22,235,8,13,255
22,236,8,16,255
22,237,7,25,255
22,238,7,23,255
22,239,7,0,255
22,240,7,0,252
22,241,6,0,239
22,242,6,0,239
22,243,7,0,239
22,244,5,0,239
22,245,0,0,239
22,246,2,0,239
22,247,6,0,244
22,248,7,0,255
22,249,9,0,255
22,250,8,0,255
22,251,6,0,255
22,252,7,0,255
22,253,9,0,255
22,254,12,0,255
22,255,13,0,255
22,256,13,0,255
22,257,12,0,255
22,258,9,0,255
22,259,7,0,255
22,260,4,0,255
22,261,4,0,255
22,262,8,0,255
22,263,8,0,255
22,264,7,0,255
22,265,7,0,255
22,266,4,0,246
22,267,0,0,239
22,268,4,0,239
22,269,7,0,239
22,270,8,0,239
22,271,7,0,239
22,272,7,0,239
22,273,7,0,239
22,274,9,0,239
22,275,8,0,239
22,276,7,0,239
22,277,2,0,250
22,278,5,0,255
22,279,8,0,255
22,280,9,0,255
22,281,8,0,255
22,282,8,0,255
22,283,8,0,255
22,284,6,0,255
22,285,6,0,255
22,286,8,0,255
22,287,8,0,255
22,288,1,0,255
22,289,6,0,255
22,290,7,0,255
22,291,8,0,255
22,292,9,0,255
22,293,10,0,255
22,294,8,0,255
22,295,7,0,255
22,296,1,0,240
22,297,8,0,8
22,298,7,0,0
23,114,0,0,126
23,115,0,0,247
23,116,4,42,255
23,117,16,42,255
23,118,36,43,255
23,119,34,110,255
23,120,30,158,255
23,121,27,48,255
23,122,59,40,255
23,123,82,105,255
23,124,75,124,255
23,125,93,158,255
23,126,80,100,255
23,127,83,73,255
23,128,95,132,255
23,129,109,131,255
23,130,139,122,255
23,131,157,119,255
23,132,175,117,255
23,133,155,48,255
23,134,113,27,255
23,135,31,7,255
23,136,18,8,255
23,137,25,11,255
23,138,40,22,255
23,139,52,32,255
23,140,31,30,255
23,141,32,30,255
23,142,18,7,255
23,143,31,8,255
23,144,14,9,255
23,145,16,10,255
23,146,13,11,255
23,147,7,17,255
23,148,7,20,255
23,149,8,45,255
23,150,10,29,255
23,151,10,7,255
23,152,8,5,255
23,153,7,5,255
23,154,5,17,255
23,155,6,18,255
23,156,8,25,255
23,157,8,44,255
23,158,8,63,255
23,159,6,31,255
23,160,8,24,255
23,161,9,27,255
23,162,7,25,255
23,163,7,22,255
23,164,7,37,255
23,165,7,47,255
23,166,6,5,255
23,167,7,0,255
23,168,7,0,255
23,169,6,0,255
23,170,7,0,255
23,171,6,0,255
23,172,7,0,255
23,173,7,0,255
23,174,6,0,255
23,175,7,0,255
23,176,15,0,255
23,177,18,0,255
23,178,8,0,255
23,179,6,0,255
23,180,7,0,248
23,181,8,0,238
23,182,9,0,245
23,183,9,0,255
23,184,9,0,255
23,185,8,0,255
23,186,7,0,247
23,187,7,0,238
23,188,6,0,238
23,189,7,0,238
23,190,7,0,238
23,191,7,0,238
23,192,7,0,238
23,193,7,0,238
23,194,6,0,238
23,195,6,0,238
23,196,7,0,238
23,197,7,0,238
23,198,8,0,238
23,199,7,0,238
23,200,7,0,238
23,201,6,0,238
23,202,6,0,71
23,203,8,0,0
23,204,6,0,0
23,205,6,0,0
23,206,7,0,0
23,207,7,0,0
23,208,7,0,186
23,209,7,0,238
23,210,6,0,238
23,211,1,0,238
23,212,6,0,238
23,213,7,0,252
23,214,8,0,255
23,215,8,0,255
23,216,9,0,255
23,217,8,0,255
23,218,9,0,255
23,219,15,1,255
23,220,16,5,255
23,221,22,5,255
23,222,25,6,255
23,223,24,20,255
23,224,34,25,255
23,225,21,19,255
23,226,21,15,255
23,227,18,3,255
23,228,17,7,255
23,229,10,10,255
23,230,7,7,255
23,231,7,6,255
23,232,7,25,255
23,233,6,20,255
23,234,6,10,255
23,235,7,15,255
23,236,7,18,255
23,237,9,27,255
23,238,7,25,255
23,239,6,0,255
23,240,0,0,255
23,241,2,0,255
23,242,5,0,255
23,243,2,0,255
23,244,6,0,255
23,245,6,0,255
23,246,7,0,255
23,247,7,0,255
23,248,5,0,255
23,249,3,0,255
23,250,7,0,255
23,251,5,0,255
23,252,3,0,255
23,253,9,0,255
23,254,13,0,255
23,255,11,0,255
23,256,5,0,255
23,257,4,0,255
23,258,5,0,255
23,259,3,0,255
23,260,7,0,255
23,261,4,0,255
23,262,4,0,255
23,263,7,0,255
23,264,6,0,255
23,265,8,0,255
23,266,8,0,255
23,267,7,0,255
23,268,8,0,255
23,269,8,0,255
23,270,9,0,255
23,271,8,0,255
23,272,7,0,255
23,273,3,0,255
23,274,5,0,255
23,275,7,0,255
23,276,2,0,255
23,277,6,0,255
23,278,8,0,255
23,279,3,0,255
23,280,7,0,255
23,281,8,0,255
23,282,2,0,255
23,283,1,0,255
23,284,6,0,255
23,285,8,0,255
23,286,8,0,255
23,287,7,0,255
23,288,7,0,255
23,289,7,0,255
23,290,7,0,255
23,291,7,0,255
23,292,7,0,255
23,293,7,0,255
23,294,7,0,255
23,295,9,0,255
23,296,8,0,255
23,297,7,0,239
23,298,7,0,5
23,299,7,0,0
23,300,6,0,0
24,111,0,0,116
24,112,0,0,238
24,113,0,0,238
24,114,0,28,247
24,115,4,34,255
24,116,77,60,255
24,117,105,71,255
24,118,56,102,255
24,119,94,91,255
24,120,79,83,255
24,121,29,117,255
24,122,32,121,255
24,123,52,121,255
24,124,122,118,255
24,125,72,114,255
24,126,38,126,255
24,127,107,132,255
24,128,182,114,255
24,129,97,124,255
24,130,73,181,255
24,131,64,185,255
24,132,60,191,255
24,133,93,165,255
24,134,98,157,255
24,135,121,72,255
24,136,37,65,255
24,137,72,42,255
24,138,55,61,255
24,139,42,78,255
24,140,25,33,255
24,141,19,26,255
24,142,16,78,255
24,143,25,64,255
24,144,29,34,255
24,145,18,29,255
24,146,13,26,255
24,147,11,11,255
24,148,7,9,255
24,149,8,4,255
24,150,6,20,255
24,151,8,43,255
24,152,6,32,255
24,153,5,28,255
24,154,5,17,255
24,155,6,23,255
24,156,25,51,255
24,157,190,56,255
24,158,11,62,255
24,159,5,21,255
24,160,6,12,255
24,161,7,23,255
24,162,6,25,255
24,163,1,30,255
24,164,6,21,255
24,165,6,15,255
24,166,7,1,255
24,167,5,0,255
24,168,2,0,255
24,169,6,0,255
24,170,6,0,255
24,171,7,0,255
24,172,8,0,255
24,173,10,0,255
24,174,8,0,255
24,175,8,0,255
24,176,9,0,255
24,177,9,0,255
24,178,14,0,255
24,179,15,0,255
24,180,9,0,255
24,181,8,0,255
24,182,11,0,255
24,183,14,0,255
24,184,14,0,255
24,185,13,0,255
24,186,11,0,255
24,187,7,0,255
24,188,8,0,255
24,189,8,0,255
24,190,7,0,255
24,191,3,0,255
24,192,4,0,255
24,193,3,0,255
24,194,26,0,255
24,195,23,0,255
24,196,8,0,255
24,197,8,0,255
24,198,3,0,255
24,199,7,0,255
24,200,8,0,255
24,201,6,0,255
24,202,7,0,243
24,203,7,0,238
24,204,7,0,238
24,205,7,0,238
24,206,2,0,238
24,207,5,0,238
24,208,2,0,251
24,209,5,0,255
24,210,7,0,255
24,211,7,0,255
24,212,8,0,255
24,213,8,0,255
24,214,8,0,255
24,215,9,0,255
24,216,9,0,255
24,217,10,0,255
24,218,11,0,255
24,219,13,0,255
24,220,14,1,255
24,221,44,33,255
24,222,87,72,255
24,223,65,72,255
24,224,64,72,255
24,225,145,10,255
24,226,31,10,255
24,227,9,11,255
24,228,1,14,255
24,229,10,17,255
24,230,7,7,255
24,231,8,6,255
24,232,8,5,255
24,233,8,5,255
24,234,8,6,255
24,235,6,14,255
24,236,1,19,255
24,237,7,23,255
24,238,6,20,255
24,239,1,0,255
24,240,4,0,255
24,241,1,0,255
24,242,5,0,255
24,243,2,0,255
24,244,7,0,255
24,245,7,0,255
24,246,4,0,255
24,247,2,0,255
24,248,6,0,255
24,249,6,0,255
24,250,6,0,255
24,251,6,0,255
24,252,6,0,255
24,253,8,0,255
24,254,8,0,255
24,255,7,0,255
24,256,8,0,255
24,257,4,0,255
24,258,4,0,255
24,259,5,0,255
24,260,5,0,255
24,261,8,0,255
24,262,3,0,255
24,263,3,0,255
24,264,7,0,255
24,265,4,0,255
24,266,5,0,255
24,267,8,0,255
24,268,8,0,255
24,269,7,0,255
24,270,7,0,255
24,271,8,0,255
24,272,3,0,255
24,273,4,0,255
24,274,7,0,255
24,275,7,0,255
24,276,6,0,255
24,277,2,0,255
24,278,1,0,255
24,279,5,0,255
24,280,8,0,255
24,281,7,0,255
24,282,6,0,255
24,283,1,0,255
24,284,0,0,255
24,285,7,0,255
24,286,8,0,255
24,287,6,0,255
24,288,7,0,255
24,289,8,0,255
24,290,7,0,255
24,291,6,0,255
24,292,8,0,255
24,293,9,0,255
24,294,8,0,255
24,295,10,0,255
24,296,8,0,255
24,297,0,0,255
24,298,0,0,238
24,299,8,0,2
24,300,7,0,0
24,301,7,0,0
24,302,6,0,0
25,1,6,0,0
25,23,2,0,0
25,24,4,0,0
25,69,5,0,0
25,105,0,3,0
25,106,0,9,0
25,107,0,8,103
25,108,0,8,237
25,109,0,8,237
25,110,0,12,237
25,111,0,28,246
25,112,0,28,255
25,113,0,28,255
25,114,6,34,255
25,115,19,36,255
25,116,112,83,255
25,117,103,93,255
25,118,40,120,255
25,119,70,113,255
25,120,93,108,255
25,121,40,116,255
25,122,21,118,255
25,123,60,124,255
25,124,94,128,255
25,125,136,135,255
25,126,70,136,255
25,127,46,137,255
25,128,44,102,255
25,129,101,114,255
25,130,65,185,255
25,131,47,184,255
25,132,111,185,255
25,133,109,168,255
25,134,103,163,255
25,135,91,112,255
25,136,76,103,255
25,137,70,77,255
25,138,28,75,255
25,139,29,74,255
25,140,20,55,255
25,141,32,52,255
25,142,64,78,255
25,143,34,64,255
25,144,21,35,255
25,145,16,31,255
25,146,18,28,255
25,147,19,13,255
25,148,21,12,255
25,149,18,5,255
25,150,6,16,255
25,151,8,33,255
25,152,6,26,255
25,153,7,24,255
25,154,6,17,255
25,155,7,23,255
25,156,10,46,255
25,157,32,49,255
25,158,6,53,255
25,159,8,22,255
25,160,9,15,255
25,161,7,21,255
25,162,7,22,255
25,163,7,25,255
25,164,7,22,255
25,165,7,20,255
25,166,7,2,255
25,167,8,0,255
25,168,7,0,255
25,169,6,0,255
25,170,7,0,255
25,171,7,0,255
25,172,8,0,255
25,173,7,0,255
25,174,7,0,255
25,175,7,0,255
25,176,8,0,255
25,177,8,0,255
25,178,8,0,255
25,179,8,0,255
25,180,8,0,255
25,181,9,0,255
25,182,8,0,255
25,183,8,0,255
25,184,11,0,255
25,185,15,0,255
25,186,12,0,255
25,187,8,0,255
25,188,3,0,255
25,189,4,0,255
25,190,8,0,255
25,191,4,0,255
25,192,4,0,255
25,193,6,0,255
25,194,7,0,255
25,195,10,0,255
25,196,9,0,255
25,197,7,0,255
25,198,7,0,255
25,199,7,0,255
25,200,7,0,255
25,201,8,0,255
25,202,3,0,255
25,203,5,0,255
25,204,7,0,255
25,205,6,0,255
25,206,1,0,255
25,207,5,0,255
25,208,1,0,255
25,209,5,0,255
25,210,7,0,255
25,211,7,0,255
25,212,7,0,255
25,213,7,0,255
25,214,1,0,255
25,215,9,0,255
25,216,8,0,255
25,217,10,0,255
25,218,13,0,255
25,219,14,1,255
25,220,15,7,255
25,221,36,37,255
25,222,124,74,255
25,223,75,69,255
25,224,118,67,255
25,225,53,20,255
25,226,35,25,255
25,227,29,42,255
25,228,8,26,255
25,229,13,13,255
25,230,12,10,255
25,231,1,9,255
25,232,8,10,255
25,233,9,9,255
25,234,1,7,255
25,235,7,12,255
25,236,6,16,255
25,237,1,18,255
25,238,7,17,255
25,239,6,0,255
25,240,5,0,255
25,241,1,0,255
25,242,5,0,255
25,243,2,0,255
25,244,7,0,255
25,245,7,0,255
25,246,8,0,255
25,247,7,0,255
25,248,5,0,255
25,249,2,0,255
25,250,6,0,255
25,251,7,0,255
25,252,8,0,255
25,253,9,0,255
25,254,7,0,255
25,255,7,0,255
25,256,7,0,255
25,257,6,0,255
25,258,7,0,255
25,259,7,0,255
25,260,6,0,255
25,261,4,0,255
25,262,5,0,255
25,263,8,0,255
25,264,7,0,255
25,265,6,0,255
25,266,7,0,255
25,267,9,0,255
25,268,8,0,255
25,269,3,0,255
25,270,0,0,255
25,271,7,0,255
25,272,9,0,255
25,273,7,0,255
25,274,6,0,255
25,275,3,0,255
25,276,5,0,255
25,277,7,0,255
25,278,2,0,255
25,279,0,0,255
25,280,6,0,255
25,281,7,0,255
25,282,2,0,255
25,283,5,0,255
25,284,9,0,255
25,285,10,0,255
25,286,2,0,255
25,287,6,0,255
25,288,8,0,255
25,289,2,0,255
25,290,10,0,255
25,291,6,0,255
25,292,1,0,255
25,293,1,0,255
25,294,1,0,255
25,295,1,0,255
25,296,7,0,255
25,297,8,0,255
25,298,0,0,255
25,299,1,0,2
25,302,7,0,0
25,303,6,0,0
26,1,1,0,0
26,25,2,0,0
26,26,4,0,0
26,52,4,0,0
26,53,2,0,0
26,105,0,14,96
26,106,0,34,236
26,107,0,33,244
26,108,2,33,255
26,109,9,31,255
26,110,14,46,255
26,111,11,113,255
26,112,6,113,255
26,113,19,113,255
26,114,87,54,255
26,115,88,41,255
26,116,115,151,255
26,117,146,157,255
26,118,61,175,255
26,119,17,180,255
26,120,23,184,255
26,121,23,114,255
26,122,21,107,255
26,123,78,131,255
26,124,57,156,255
26,125,62,199,255
26,126,44,168,255
26,127,23,153,255
26,128,26,66,255
26,129,47,84,255
26,130,42,195,255
26,131,59,182,255
26,132,78,166,255
26,133,159,177,255
26,134,80,181,255
26,135,69,230,255
26,136,63,218,255
26,137,70,180,255
26,138,51,115,255
26,139,79,61,255
26,140,29,121,255
26,141,50,130,255
26,142,23,77,255
26,143,25,65,255
26,144,129,39,255
26,145,39,36,255
26,146,22,35,255
26,147,45,22,255
26,148,23,19,255
26,149,22,8,255
26,150,34,6,255
26,151,6,3,255
26,152,6,9,255
26,153,9,11,255
26,154,8,18,255
26,155,9,20,255
26,156,7,30,255
26,157,10,27,255
26,158,12,24,255
26,159,7,22,255
26,160,6,22,255
26,161,9,13,255
26,162,9,12,255
26,163,8,11,255
26,164,6,25,255
26,165,9,35,255
26,166,15,3,255
26,167,9,0,255
26,168,7,0,255
26,169,8,0,255
26,170,6,0,255
26,171,8,0,255
26,172,9,0,255
26,173,7,0,255
26,174,6,0,255
26,175,7,0,255
26,176,6,0,255
26,177,5,0,255
26,178,6,0,255
26,179,7,0,255
26,180,7,0,255
26,181,7,0,255
26,182,7,0,255
26,183,6,0,255
26,184,9,0,255
26,185,13,0,255
26,186,11,0,255
26,187,7,0,255
26,188,6,0,255
26,189,7,0,255
26,190,7,0,255
26,191,7,0,255
26,192,6,0,255
26,193,6,0,255
26,194,6,0,255
26,195,8,0,255
26,196,8,0,255
26,197,8,0,255
26,198,8,0,255
26,199,8,0,255
26,200,7,0,255
26,201,6,0,255
26,202,6,0,255
26,203,8,0,255
26,204,3,0,255
26,205,5,0,255
26,206,6,0,255
26,207,7,0,255
26,208,6,0,255
26,209,6,0,255
26,210,2,0,255
26,211,6,0,255
26,212,9,0,255
26,213,7,0,255
26,214,6,0,255
26,215,7,0,255
26,216,9,0,255
26,217,9,0,255
26,218,11,2,255
26,219,9,5,255
26,220,13,24,255
26,221,25,49,255
26,222,46,80,255
26,223,159,58,255
26,224,242,52,255
26,225,175,50,255
26,226,25,70,255
26,227,22,135,255
26,228,26,63,255
26,229,49,2,255
26,230,22,16,255
26,231,6,19,255
26,232,6,26,255
26,233,9,21,255
26,234,7,10,255
26,235,7,7,255
26,236,8,5,255
26,237,6,6,255
26,238,6,5,255
26,239,5,0,255
26,240,2,0,255
26,241,5,0,255
26,242,0,0,255
26,243,2,0,255
26,244,5,0,255
26,245,2,0,255
26,246,6,0,255
26,247,4,0,255
26,248,2,0,255
26,249,7,0,255
26,250,7,0,255
26,251,8,0,255
26,252,13,0,255
26,253,13,0,255
26,254,3,0,255
26,255,7,0,255
26,256,6,0,255
26,257,10,0,255
26,258,11,0,255
26,259,10,0,255
26,260,11,0,255
26,261,10,0,255
26,262,10,0,255
26,263,7,0,255
26,264,7,0,255
26,265,9,0,255
26,266,9,0,255
26,267,9,0,255
26,268,5,0,255
26,269,4,0,255
26,270,6,0,255
26,271,7,0,255
26,272,7,0,255
26,273,8,0,255
26,274,7,0,255
26,275,8,0,255
26,276,7,0,255
26,277,8,0,255
26,278,7,0,255
26,279,6,0,255
26,280,6,0,255
26,281,6,0,255
26,282,1,0,255
26,283,5,0,255
26,284,2,0,255
26,285,5,0,255
26,286,1,0,255
26,287,6,0,255
26,288,7,0,255
26,289,6,0,255
26,290,6,0,255
26,291,1,0,255
26,292,5,0,255
26,293,0,0,255
26,294,7,0,255
26,295,7,0,255
26,296,6,0,255
26,297,1,0,255
26,298,6,0,255
26,299,0,0,236
26,300,0,0,236
26,301,6,0,231
26,302,8,0,0
26,303,1,0,0
26,304,6,0,0
26,400,2,0,0
26,401,4,0,0
27,82,1,0,0
27,83,8,0,0
27,103,0,2,0
27,104,0,18,93
27,105,0,33,243
27,106,3,54,255
27,107,10,65,255
27,108,24,70,255
27,109,38,47,255
27,110,54,65,255
27,111,61,146,255
27,112,81,160,255
27,113,130,174,255
27,114,106,111,255
27,115,51,97,255
27,116,51,183,255
27,117,74,191,255
27,118,39,211,255
27,119,11,218,255
27,120,16,224,255
27,121,14,143,255
27,122,35,135,255
27,123,32,148,255
27,124,22,156,255
27,125,80,170,255
27,126,61,144,255
27,127,30,132,255
27,128,32,87,255
27,129,44,102,255
27,130,55,188,255
27,131,50,169,255
27,132,83,145,255
27,133,64,172,255
27,134,159,180,255
27,135,72,210,255
27,136,31,206,255
27,137,33,191,255
27,138,23,150,255
27,139,27,115,255
27,140,30,107,255
27,141,29,105,255
27,142,19,47,255
27,143,27,54,255
27,144,30,67,255
27,145,69,73,255
27,146,88,76,255
27,147,164,85,255
27,148,48,81,255
27,149,18,49,255
27,150,13,33,255
27,151,24,10,255
27,152,6,9,255
27,153,5,9,255
27,154,7,10,255
27,155,7,12,255
27,156,9,20,255
27,157,7,19,255
27,158,6,18,255
27,159,5,15,255
27,160,8,14,255
27,161,8,11,255
27,162,6,13,255
27,163,7,20,255
27,164,7,19,255
27,165,8,18,255
27,166,7,2,255
27,167,6,0,255
27,168,5,0,255
27,169,3,0,255
27,170,9,0,255
27,171,6,0,255
27,172,7,0,255
27,173,7,0,255
27,174,7,0,255
27,175,8,0,255
27,176,7,0,255
27,177,7,0,255
27,178,6,0,255
27,179,8,0,255
27,180,9,0,255
27,181,11,0,255
27,182,12,0,255
27,183,9,0,255
27,184,7,0,255
27,185,7,0,255
27,186,6,0,255
27,187,9,0,255
27,188,10,0,255
27,189,8,0,255
27,190,7,0,255
27,191,7,0,255
27,192,3,0,255
27,193,4,0,255
27,194,6,0,255
